"id","question","answer","evidence","human_supported","human_reviewer","reviewed_at","human_note"
"lesson-100000000000000000000000000000000014-1","“语义化标签”主要讲解什么？","“语义化标签”主要讲解使用具有明确含义的HTML标签来描述网页内容的结构和意义，例如 `header`、`footer`、`article` 等标签，它们能清晰表达其包含内容的语义，提升代码可读性与可维护性 [1]。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000014"",""contentHash"":""6e9a9104b1c0be0018bdfeae664d0dfdabc5d142f9926d97b88e1f7fa4e6d0d1"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## 布局与语义化\n\n### 语义化标签\n\nheader、footer、article等""}]","","","",""
"lesson-300000000000000000000000000000000061-1","“什么是数据库”主要讲解什么？","“什么是数据库”小节主要讲解数据库的基础概念，介绍数据库的基本定义和作用，帮助学习者理解数据库在数据存储与管理中的核心地位 [1]。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000061"",""contentHash"":""1cea8e9ce11d33d991291cacf4b2a3bbcc2e6e33d0179973504e1fbe90cbd662"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 什么是数据库\n\n数据库基础概念""}]","","","",""
"lesson-8bcec1e1-3c9a-413d-b9e2-9595ae93dd47-1","“1.1数据类型、运算符与流程控制”主要讲解什么？","“1.1数据类型、运算符与流程控制”主要讲解 Java 语言中的基本数据类型、常用运算符以及流程控制语句 [1]。","[{""sourceType"":""lesson"",""sourceId"":""8bcec1e1-3c9a-413d-b9e2-9595ae93dd47"",""contentHash"":""f2e94e4ae799b7c5bd771409c415d41db689ed0622ddc0906c28275a29318b33"",""chunkIndex"":0,""score"":1,""content"":""# Java入门学习\n\n## 章节一：Java语言基础与核心语法\n\n### 1.1数据类型、运算符与流程控制\n\n数据类型、运算符与流程控制""}]","","","",""
"lesson-94a61463-e055-4467-8894-fe3fb99f0056-1","“1.1 认识数据库：数据管理的起点”主要讲解什么？","“1.1 认识数据库：数据管理的起点”主要讲解了数据库的基本概念及其与传统数据管理方式（如 Excel）的区别，帮助学习者建立对数据库的初步认知。具体内容包括：

1. **数据库的定义**：数据库是一个专门用于存储和管理数据的仓库，能够高效地进行数据的查找、修改、删除和分析 [1]。

2. **数据库的核心作用**：
   - 永久保存数据，避免因程序关闭或重启而丢失；
   - 快速查找海量数据（如百万级记录）；
   - 支持多人同时访问和操作；
   - 提供数据安全与权限控制；
   - 便于数据的统计与分析 [1]。

3. **数据库与 Excel 的对比**：
   - 数据量处理能力：数据库可处理百万、千万甚至上亿行数据，而 Excel 在几万行后易卡顿；
   - 并发访问：数据库支持多用户同时操作，Excel 通常仅限单人编辑；
   - 数据安全：数据库具备权限管理与备份机制，Excel 容易误删或误改；
   - 数据关联：数据库可轻松建立表间关系，Excel 跨表关联复杂 [1]。

4. **关系型数据库的基本概念**：
   - **表（Table）**：数据存储的基本单位，如 students 表、courses 表；
   - **列（Column）**：描述数据属性，也称“字段”，如 id、name、age；
   - **行（Row）**：代表一条完整的数据记录，如一个学生的全部信息 [1]。

5. **SQL 语言简介**：
   - SQL 是结构化查询语言，用于与数据库交互；
   - 支持四大类操作：查询（DQL）、增删改（DML）、定义（DDL）、控制（DCL）；
   - 最基础的语句是 `SELECT`，用于查询数据，语法为：
     - `SELECT * FROM 表名;` 查询所有列；
     - `SELECT 列名 FROM 表名;` 查询指定列；
     - `SELECT ... FROM ... WHERE 条件;` 带条件查询 [1]。

6. **学习提示**：
   - SQL 关键字不区分大小写；
   - 多条语句用分号 `;` 分隔；
   - 可使用 `--` 添加单行注释 [1]。

本小节为后续学习 SQL 操作和数据库设计打下基础，强调“多练习、多动手”的学习方式 [1]。","[{""sourceType"":""lesson"",""sourceId"":""94a61463-e055-4467-8894-fe3fb99f0056"",""contentHash"":""dfb259645a2dd36126e301ee49d6bd16f0e7857eb2ec238199fe44b37ce5cc68"",""chunkIndex"":0,""score"":1,""content"":""# 数据库基础学习教程\n\n## 第一章：数据库基础概念\n\n### 1.1 认识数据库：数据管理的起点\n\n欢迎大家来到数据库的世界！在开始我们的学习之旅之前，让我们先思考一个问题：你平时是怎么管理数据的？可能是用 Excel 表格记录班级同学的信息，用记事本保存待办事项，或者用手机通讯录存储联系人。这些都是数据管理的方式，但当数据量变大、操作变复杂时，我们就需要一个更强大的工具 —— 这就是数据库。\n\n什么是数据库？\n\n简单来说，数据库就是一个专门用来存储和管理数据的仓库。就像现实生活中的仓库用来存放货物一样，数据库用来存放各种各样的数据。但数据库不仅仅是简单地 \""存放\"" 数据，它还能让我们快速地查找、修改、删除和分析数据。\n\n想象一下，你手机里的通讯录就是一个小型数据库：它存储了成百上千个联系人的姓名、电话、邮箱等信息，你可以快速搜索某个人，添加新联系人，或者修改已有的信息。淘宝、微信、QQ 这些我们每天使用的应用，背后都有庞大的数据库在支撑，存储着亿万用户的信息。\n\n数据库能帮我们做什么？\n\n数据库的核心作用可以总结为以下几点：\n\n 1. 永久保存数据：数据一旦存入数据库，就会被安全地保存下来，不会因为关闭程序或重启电脑而丢失\n\n 2. 快速查找数据：即使有几百万条数据，数据库也能在几毫秒内找到你想要的信息\n\n 3. 多人同时使用：多个用户可以同时访问和操作数据库中的数据，互不干扰\n\n 4. 保证数据安全：可以设置不同的权限，防止数据被随意修改或泄露\n\n 5. 方便数据分析：可以轻松地对数据进行统计、汇总和分析\n\n----------------------------------------\n\n数据库 VS EXCEL：有什么不一样？\n\n很多同学会问：\""我用 Excel 也能存数据，为什么还要学数据库呢？\"" 这是一个非常好的问题。让我们来对比一下：\n\n对比维度\n\nExcel\n\n数据库\n\n数据量\n\n一般几万行就会卡\n\n轻松处理百万、千万甚至上亿行数据\n\n并发访问\n\n只能一个人编辑\n\n支持成千上万人同时操作\n\n数据安全\n\n容易误删、误改\n\n有完善的权限控制和备份机制\n\n数据关联\n\n跨表关联很麻烦\n\n可以轻松建立表与表之间的关系\n\n程序调用\n\n很难被程序自动读取\n\n可以被各种程序方便地调用\n\n举个例子：如果学校要管理 10000 名学生的信息，包括基本信息、选课记录、考试成绩。用 Excel 的话，可能需要建几十个表格，查找某个学生的所有信息会非常麻烦。但用数据库，我们可以轻松地把这些信息关联起来，一秒钟就能查到某个学生的全部数据。\n\n记住：Excel 适合做小型、简单、个人使用的数据管理；数据库适合大型、复杂、多人共享的数据管理。\n\n请完成练习\n\n关系型数据库的基本概念\n\n现在主流的数据库大多是关系型数据库。什么是 \""关系型\"" 呢？简单理解就是：数据以 \""表格\"" 的形式存储，表与表之间可以建立关联关系。\n\n让我们来认识三个最基本的概念：\n\n1. 表（TABLE）\n\n表是数据库中存储数据的基本单位，就像 Excel 里的一个工作表。每个表都有一个名字，用来描述它存储什么数据。比如：\n\n * students 表：存储学生信息\n\n * courses 表：存储课程信息\n\n * scores 表：存储考试成绩\n\n2. 列（COLUMN）\n\n也叫 \""字段\""，是表中的每一列，描述数据的某一个属性。比如在students表中，我们可能有这些列：\n\n * id：学生编号\n\n * name：学生姓名\n\n * age：年龄\n\n * gender：性别\n\n * class：班级\n\n3. 行（ROW）\n\n也叫 \""记录\""，是表中的每一行，代表一条完整的数据。比如students表中的一行，就代表一个具体学生的全部信息。\n\n举个例子：一个学生表长这样：\n\nid（列）\n\nname（列）\n\nage（列）\n\ngender（列）\n\n1（行）\n\n张三\n\n18\n\n男\n\n2（行）\n\n李四\n\n19\n\n女\n\n3（行）\n\n王五\n\n18\n\n男\n\n在这个表中：\n\n * 有 4 个列：id, name, age, gender\n\n * 有 3 个行：3 个学生的数据\n\n * 整个这张表就是一个表\n\n请完成练习\n\nSQL 语言是什么？\n\n现在你可能会问：我们怎么和数据库 \""对话\"" 呢？答案就是 ——SQL 语言。\n\nSQL 的全称是 Structured Query Language（结构化查询语言），它是专门用来和数据库沟通的语言。几乎所有的关系型数据库（MySQL、Oracle、SQL Server、PostgreSQL 等）都支持 SQL 语言。\n\nSQL 语言有几个非常棒的特点：\n\n * 简单易学：语法接近英语，关键字都是常见的英文单词\n\n * 功能强大：可以完成几乎所有的数据操作\n\n * 通用性强：学会了 SQL，就能操作各种数据库\n\n * 非过程化：你只需要说 \""要什么\""，不需要说 \""怎么做到\""\n\nSQL 语言主要分为四大类：\n\n 1. 查询（DQL）：从数据库中获取数据（我们最先学习）\n\n 2. 增删改（DML）：插入、修改、删除数据\n\n 3. 定义（DDL）：创建、修改数据库和表结构\n\n 4. 控制（DCL）：管理用户权限和事务\n\n最基础的 SELECT 语句入门\n\nSELECT 是 SQL 中最常用、最基础的语句，用来从数据库中查询数据。它的基本语法非常简单：\n\nSELECT 列名1, 列名2, ... FROM 表名;\n\n让我们通过几个例子来理解：\n\n例 1：查询所有列\n\nSELECT * FROM students;\n\n这里的 * 表示 \""所有列\""，这条语句会返回 students 表中所有学生的全部信息。\n\n例 2：查询指定列\n\nSELECT name, age FROM students;\n\n这条语句只会返回学生的姓名和年龄，其他列不会显示。\n\n例 3：带条件的查询\n\nSELECT name, age FROM students WHERE age > 18;\n\n加上 WHERE 子句后，就可以只查询满足条件的数据。这条语句会返回所有年龄大于 18 岁的学生。\n\n小技巧：\n\n * SQL 关键字不区分大小写：select 和 SELECT 效果一样\n\n * 多条 SQL 语句用分号 ; 分隔\n\n * 用 -- 可以写单行注释，帮助你理解代码\n\n请完成练习\n\n📚 小节总结\n\n恭喜你完成了数据库入门的第一小节学习！让我们来回顾一下今天学到的核心知识：\n\n 1. 什么是数据库：专门存储和管理数据的仓库，支持海量数据和并发访问\n\n 2. 数据库 vs Excel：数据库适合大型、复杂、多人共享的数据管理场景\n\n 3. 三个基本概念：\n\n    1. 表（Table）：存储数据的容器\n\n    2. 列（Column）：描述数据的属性（字段）\n\n    3. 行（Row）：一条完整的数据记录\n\n 4. SQL 语言：和数据库沟通的标准语言，简单易学、功能强大\n\n 5. 基础 SELECT 语句：\n\n    1. SELECT * FROM 表名 查询所有数据\n\n    2. SELECT 列名 FROM 表名 查询指定列\n\n    3. SELECT ... FROM ... WHERE 条件 带条件查询\n\n这只是数据库学习的起点，接下来我们会深入学习更多 SQL 语句，掌握更复杂的数据操作。记住：多练习、多动手，SQL 是一门越用越熟练的技能！\n\n下节预告：下一节课我们将学习如何创建数据库和表，以及如何插入、修改和删除数据。""}]","","","",""
"lesson-100000000000000000000000000000000014-2","在实际编程中，应该如何应用“语义化标签”中的核心知识？","### 课程内结论
- header、footer、article等是语义化标签 [1]。

### 通用补充（非课程原文）
在实际编程中，应用语义化标签的核心原则是：用最能准确描述内容结构的标签来组织页面，提升代码可读性、可维护性，并增强无障碍访问（如屏幕阅读器）和搜索引擎优化（SEO）。

例如：
- 使用 `<header>` 包裹页面或区块的头部内容（如标题、导航）。
- 使用 `<footer>` 包裹页脚信息（如版权、联系方式）。
- 使用 `<article>` 包裹独立的、可复用的内容单元（如博客文章、新闻条目）。
- 使用 `<section>` 表示文档中的一个主题分块（如章节、面板）。
- 使用 `<nav>` 包裹导航链接。
- 使用 `<aside>` 表示与主内容相关但可独立存在的内容（如侧边栏、引用）。

这些标签不仅让 HTML 更清晰，也帮助浏览器和辅助技术理解页面结构。虽然这些标签在视觉上默认无样式，但它们的语义价值远大于样式控制。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000014"",""contentHash"":""6e9a9104b1c0be0018bdfeae664d0dfdabc5d142f9926d97b88e1f7fa4e6d0d1"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## 布局与语义化\n\n### 语义化标签\n\nheader、footer、article等""}]","","","",""
"lesson-300000000000000000000000000000000061-2","在实际编程中，应该如何应用“什么是数据库”中的核心知识？","### 课程内结论  
当前课程证据不足，无法提供关于“什么是数据库”核心知识在实际编程中如何应用的具体课程原文或必然推导结论 [1]。

### 通用补充（非课程原文）  
在实际编程中，理解“数据库是长期存储、有组织的数据集合”这一核心概念，有助于：  
- 选择合适的数据存储方式（如用数据库存用户信息，而非内存变量）；  
- 设计程序时明确数据持久化需求，避免数据丢失；  
- 与数据库交互时使用 SQL 或 ORM 工具，实现数据的增删改查；  
- 理解数据库在系统中的角色，如支撑用户登录、订单管理等关键功能。  

这些应用基于对数据库本质的普遍认知，而非本节课程原文的直接推导。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000061"",""contentHash"":""1cea8e9ce11d33d991291cacf4b2a3bbcc2e6e33d0179973504e1fbe90cbd662"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 什么是数据库\n\n数据库基础概念""}]","","","",""
"lesson-8bcec1e1-3c9a-413d-b9e2-9595ae93dd47-2","在实际编程中，应该如何应用“1.1数据类型、运算符与流程控制”中的核心知识？","### 课程内结论  
1. 本节主题为“数据类型、运算符与流程控制”，是 Java 语言基础的核心组成部分 [1]。  
2. 数据类型用于定义变量可以存储的数据种类，如 int、double、boolean 等，决定了数据的存储方式和操作范围 [1]。  
3. 运算符用于对数据进行数学、比较或逻辑操作，如 +、-、>、&& 等，是表达式计算的基础 [1]。  
4. 流程控制语句（如 if、for、while）用于控制程序执行的顺序，实现条件判断和循环逻辑 [1]。  
5. 这三者共同构成程序逻辑的基本构建单元，是编写任何 Java 程序的基础 [1]。  

### 通用补充（非课程原文）  
在实际编程中，这些知识的应用如下：  
- **数据类型**：根据需求选择合适类型。例如，整数用 `int`，小数用 `double`，布尔值用 `boolean`，避免类型错误或内存浪费。  
- **运算符**：用于实现计算逻辑，如用 `+` 进行加法，`&&` 实现“且”条件判断，`==` 比较值是否相等。  
- **流程控制**：  
  - 使用 `if-else` 处理分支逻辑，如判断用户输入是否合法；  
  - 使用 `for` 或 `while` 循环处理重复任务，如遍历数组或读取文件行；  
  - 结合条件与循环，实现复杂逻辑，如查找数组中最大值。  

这些基础语法是所有 Java 程序的起点，掌握它们才能编写可运行、可维护的代码。","[{""sourceType"":""lesson"",""sourceId"":""8bcec1e1-3c9a-413d-b9e2-9595ae93dd47"",""contentHash"":""f2e94e4ae799b7c5bd771409c415d41db689ed0622ddc0906c28275a29318b33"",""chunkIndex"":0,""score"":1,""content"":""# Java入门学习\n\n## 章节一：Java语言基础与核心语法\n\n### 1.1数据类型、运算符与流程控制\n\n数据类型、运算符与流程控制""}]","","","",""
"lesson-94a61463-e055-4467-8894-fe3fb99f0056-2","在实际编程中，应该如何应用“1.1 认识数据库：数据管理的起点”中的核心知识？","### 课程内结论  
1. 数据库是一个专门用来存储和管理数据的仓库，能够实现数据的永久保存、快速查找、多人并发访问、数据安全保护以及方便的数据分析 [1]。  
2. 相较于 Excel，数据库更适合处理海量数据（如百万、千万行以上）、支持高并发访问、具备完善的权限控制与备份机制、能轻松建立表间关联关系，并可被程序高效调用 [1]。  
3. 关系型数据库以“表”为基本单位，每张表由“列”（字段）和“行”（记录）构成，用于结构化存储数据 [1]。  
4. SQL（结构化查询语言）是与关系型数据库通信的标准语言，具有语法接近英语、功能强大、通用性强、非过程化等特性 [1]。  
5. SQL 语言分为四类：DQL（查询）、DML（增删改）、DDL（定义）、DCL（控制），其中 SELECT 是最基础的查询语句，支持查询所有列（SELECT *）、指定列或带条件查询（WHERE） [1]。  

由此可以看出，课程中强调的核心知识是：数据库是应对复杂、大规模、多用户数据管理需求的基础设施，其核心价值在于结构化存储、高效访问与安全控制，而 SQL 是实现这些能力的技术手段 [1]。

### 通用补充（非课程原文）  
在实际编程中，这些知识可应用于以下场景：  

- **项目数据持久化**：当开发 Web 应用（如博客、电商系统）时，用户注册信息、订单记录等需长期保存，应使用数据库而非内存或文件存储。  
- **多用户系统设计**：在多人协作系统（如协同编辑、在线考试）中，数据库支持并发读写，避免数据冲突。  
- **数据建模**：根据业务需求设计表结构（如用户表、订单表），通过主键、外键建立表间关系，保证数据一致性。  
- **编写 SQL 查询**：在代码中通过连接数据库（如 Python 的 `sqlite3`、`pymysql`，Java 的 JDBC）执行 SELECT、INSERT、UPDATE、DELETE 等操作，实现数据交互。  
- **权限与安全**：在部署应用时，为不同角色（如管理员、普通用户）分配数据库权限，防止敏感数据被误操作。  

例如，在一个学生管理系统中，使用数据库存储学生信息（表 `students`）、课程信息（表 `courses`）和成绩记录（表 `scores`），通过 SQL 关联查询某学生的所有课程成绩，实现高效数据管理。","[{""sourceType"":""lesson"",""sourceId"":""94a61463-e055-4467-8894-fe3fb99f0056"",""contentHash"":""dfb259645a2dd36126e301ee49d6bd16f0e7857eb2ec238199fe44b37ce5cc68"",""chunkIndex"":0,""score"":1,""content"":""# 数据库基础学习教程\n\n## 第一章：数据库基础概念\n\n### 1.1 认识数据库：数据管理的起点\n\n欢迎大家来到数据库的世界！在开始我们的学习之旅之前，让我们先思考一个问题：你平时是怎么管理数据的？可能是用 Excel 表格记录班级同学的信息，用记事本保存待办事项，或者用手机通讯录存储联系人。这些都是数据管理的方式，但当数据量变大、操作变复杂时，我们就需要一个更强大的工具 —— 这就是数据库。\n\n什么是数据库？\n\n简单来说，数据库就是一个专门用来存储和管理数据的仓库。就像现实生活中的仓库用来存放货物一样，数据库用来存放各种各样的数据。但数据库不仅仅是简单地 \""存放\"" 数据，它还能让我们快速地查找、修改、删除和分析数据。\n\n想象一下，你手机里的通讯录就是一个小型数据库：它存储了成百上千个联系人的姓名、电话、邮箱等信息，你可以快速搜索某个人，添加新联系人，或者修改已有的信息。淘宝、微信、QQ 这些我们每天使用的应用，背后都有庞大的数据库在支撑，存储着亿万用户的信息。\n\n数据库能帮我们做什么？\n\n数据库的核心作用可以总结为以下几点：\n\n 1. 永久保存数据：数据一旦存入数据库，就会被安全地保存下来，不会因为关闭程序或重启电脑而丢失\n\n 2. 快速查找数据：即使有几百万条数据，数据库也能在几毫秒内找到你想要的信息\n\n 3. 多人同时使用：多个用户可以同时访问和操作数据库中的数据，互不干扰\n\n 4. 保证数据安全：可以设置不同的权限，防止数据被随意修改或泄露\n\n 5. 方便数据分析：可以轻松地对数据进行统计、汇总和分析\n\n----------------------------------------\n\n数据库 VS EXCEL：有什么不一样？\n\n很多同学会问：\""我用 Excel 也能存数据，为什么还要学数据库呢？\"" 这是一个非常好的问题。让我们来对比一下：\n\n对比维度\n\nExcel\n\n数据库\n\n数据量\n\n一般几万行就会卡\n\n轻松处理百万、千万甚至上亿行数据\n\n并发访问\n\n只能一个人编辑\n\n支持成千上万人同时操作\n\n数据安全\n\n容易误删、误改\n\n有完善的权限控制和备份机制\n\n数据关联\n\n跨表关联很麻烦\n\n可以轻松建立表与表之间的关系\n\n程序调用\n\n很难被程序自动读取\n\n可以被各种程序方便地调用\n\n举个例子：如果学校要管理 10000 名学生的信息，包括基本信息、选课记录、考试成绩。用 Excel 的话，可能需要建几十个表格，查找某个学生的所有信息会非常麻烦。但用数据库，我们可以轻松地把这些信息关联起来，一秒钟就能查到某个学生的全部数据。\n\n记住：Excel 适合做小型、简单、个人使用的数据管理；数据库适合大型、复杂、多人共享的数据管理。\n\n请完成练习\n\n关系型数据库的基本概念\n\n现在主流的数据库大多是关系型数据库。什么是 \""关系型\"" 呢？简单理解就是：数据以 \""表格\"" 的形式存储，表与表之间可以建立关联关系。\n\n让我们来认识三个最基本的概念：\n\n1. 表（TABLE）\n\n表是数据库中存储数据的基本单位，就像 Excel 里的一个工作表。每个表都有一个名字，用来描述它存储什么数据。比如：\n\n * students 表：存储学生信息\n\n * courses 表：存储课程信息\n\n * scores 表：存储考试成绩\n\n2. 列（COLUMN）\n\n也叫 \""字段\""，是表中的每一列，描述数据的某一个属性。比如在students表中，我们可能有这些列：\n\n * id：学生编号\n\n * name：学生姓名\n\n * age：年龄\n\n * gender：性别\n\n * class：班级\n\n3. 行（ROW）\n\n也叫 \""记录\""，是表中的每一行，代表一条完整的数据。比如students表中的一行，就代表一个具体学生的全部信息。\n\n举个例子：一个学生表长这样：\n\nid（列）\n\nname（列）\n\nage（列）\n\ngender（列）\n\n1（行）\n\n张三\n\n18\n\n男\n\n2（行）\n\n李四\n\n19\n\n女\n\n3（行）\n\n王五\n\n18\n\n男\n\n在这个表中：\n\n * 有 4 个列：id, name, age, gender\n\n * 有 3 个行：3 个学生的数据\n\n * 整个这张表就是一个表\n\n请完成练习\n\nSQL 语言是什么？\n\n现在你可能会问：我们怎么和数据库 \""对话\"" 呢？答案就是 ——SQL 语言。\n\nSQL 的全称是 Structured Query Language（结构化查询语言），它是专门用来和数据库沟通的语言。几乎所有的关系型数据库（MySQL、Oracle、SQL Server、PostgreSQL 等）都支持 SQL 语言。\n\nSQL 语言有几个非常棒的特点：\n\n * 简单易学：语法接近英语，关键字都是常见的英文单词\n\n * 功能强大：可以完成几乎所有的数据操作\n\n * 通用性强：学会了 SQL，就能操作各种数据库\n\n * 非过程化：你只需要说 \""要什么\""，不需要说 \""怎么做到\""\n\nSQL 语言主要分为四大类：\n\n 1. 查询（DQL）：从数据库中获取数据（我们最先学习）\n\n 2. 增删改（DML）：插入、修改、删除数据\n\n 3. 定义（DDL）：创建、修改数据库和表结构\n\n 4. 控制（DCL）：管理用户权限和事务\n\n最基础的 SELECT 语句入门\n\nSELECT 是 SQL 中最常用、最基础的语句，用来从数据库中查询数据。它的基本语法非常简单：\n\nSELECT 列名1, 列名2, ... FROM 表名;\n\n让我们通过几个例子来理解：\n\n例 1：查询所有列\n\nSELECT * FROM students;\n\n这里的 * 表示 \""所有列\""，这条语句会返回 students 表中所有学生的全部信息。\n\n例 2：查询指定列\n\nSELECT name, age FROM students;\n\n这条语句只会返回学生的姓名和年龄，其他列不会显示。\n\n例 3：带条件的查询\n\nSELECT name, age FROM students WHERE age > 18;\n\n加上 WHERE 子句后，就可以只查询满足条件的数据。这条语句会返回所有年龄大于 18 岁的学生。\n\n小技巧：\n\n * SQL 关键字不区分大小写：select 和 SELECT 效果一样\n\n * 多条 SQL 语句用分号 ; 分隔\n\n * 用 -- 可以写单行注释，帮助你理解代码\n\n请完成练习\n\n📚 小节总结\n\n恭喜你完成了数据库入门的第一小节学习！让我们来回顾一下今天学到的核心知识：\n\n 1. 什么是数据库：专门存储和管理数据的仓库，支持海量数据和并发访问\n\n 2. 数据库 vs Excel：数据库适合大型、复杂、多人共享的数据管理场景\n\n 3. 三个基本概念：\n\n    1. 表（Table）：存储数据的容器\n\n    2. 列（Column）：描述数据的属性（字段）\n\n    3. 行（Row）：一条完整的数据记录\n\n 4. SQL 语言：和数据库沟通的标准语言，简单易学、功能强大\n\n 5. 基础 SELECT 语句：\n\n    1. SELECT * FROM 表名 查询所有数据\n\n    2. SELECT 列名 FROM 表名 查询指定列\n\n    3. SELECT ... FROM ... WHERE 条件 带条件查询\n\n这只是数据库学习的起点，接下来我们会深入学习更多 SQL 语句，掌握更复杂的数据操作。记住：多练习、多动手，SQL 是一门越用越熟练的技能！\n\n下节预告：下一节课我们将学习如何创建数据库和表，以及如何插入、修改和删除数据。""}]","","","",""
"lesson-100000000000000000000000000000000013-1","“div与span”主要讲解什么？","“div与span”小节主要讲解HTML中的两个基本容器元素：`div` 和 `span`，重点区分它们作为区块元素（block-level）和行内元素（inline-level）的用途与特性 [1]。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000013"",""contentHash"":""70c950a2188ede7daa2d9cf6c32f2db66a5c3a19718605b2c0d35a7a1152356c"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## 布局与语义化\n\n### div与span\n\n区块与行内元素""}]","","","",""
"lesson-300000000000000000000000000000000062-1","“为什么使用数据库”主要讲解什么？","“为什么使用数据库”小节主要讲解使用数据库在数据存储与管理方面的优势 [1]。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000062"",""contentHash"":""0438a3d1eb2518a66123b55e4365132e35fa83d5370f7f9563f002bec425a87b"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 为什么使用数据库\n\n数据存储与管理优势""}]","","","",""
